순위,등록번호,서명,저자,발행자,청구기호,자료실,대출횟수
1,BJX000499998,흔한 남매 : 안 흔한 일기. 3,흔한남매 원작 ; 강효미 글 ; 조병주 그림,Mirae N 아이세움,J 813.8-강96ㅎ-3=2,[두류]아동실,10
2,BJX000507699,(흔한남매)불꽃 튀는 우리말. 1,흔한남매 원작 ; 한은호 글 ; 유희석 그림,다산어린이,J 710-흔91ㅂ-1,[두류]아동실,10
3,BJX000522313,"급식걸즈. 1, 초아, 아이돌이 되다!",급식걸즈 원작 ; 최재연 글 ; 진영옥 그림,샌드박스스토리 키즈,J 813.8-급59ㄱ-1,[두류]아동실,10
4,BJX000519977,밍꼬발랄 공소시효. 7,밍꼬발랄 원작 ; 백승하 글 ; 라임 스튜디오 그림,겜툰,J 813.8-밍15ㅁ-7,[두류]아동실,9
5,BJX000525435,흔한남매 오해요,흔한남매 원작 ; 백난도 글 ; 유난희 그림,MiraeN·아이세움,J 813.8-흔91ㅎ,[두류]아동실,9
6,BJX000522484,(흔한남매의)흔한 호기심 : 일상에서 만나는 과학 상식. 5,흔한남매 원작 ; 안치현 글 ; 유난희 그림,미래엔,J 400-안829ㅎ-5=2,[두류]아동실,9
7,BJX000526726,흔한남매. 10,흔한남매 원작 ; 백난도 글 ; 유난희 그림,Mirae N 아이세움,J 813.8-백211ㅎ-10,[두류]아동실,9
8,BJX000505239,밍꼬발랄 공소시효. 2,밍꼬발랄 원작 ; 주상일 글 ; 라임스튜디오 그림,겜툰,J 813.8-밍15ㅁ-2,[두류]아동실,9
9,BJX000499999,(흔한남매의) 흔한 호기심 : 일상에서 만나는 과학 상식. 1,흔한남매 원작 ; 안치현 글 ; 유난희 그림,Mirae N 아이세움,J 400-안819ㅎ-1,[두류]아동실,9
10,BJX000500500,"(백종원의) 도전 요리왕 : 음식으로 맛보는 세계 역사 문화 체험. 6, 대한민국 1","글: 백종원,남지은 ; 그림: 이정태",위즈덤하우스,J 594-백75ㄷ-6,[두류]아동실,9
11,BJX000510303,(흔한남매)불꽃 튀는 우리말. 2,흔한남매 원작 ; 한은호 글 ; 유희석 그림,다산어린이,J 710-흔91ㅂ-2,[두류]아동실,9
12,BJX000516596,(흔한남매의) 흔한 호기심. 4,흔한남매 원작 ; 안치현 글 ; 유난희 그림,아이세움,J 400-안819ㅎ-4,[두류]아동실,9
13,BJX000515161,밍꼬발랄 공소시효. 6,밍꼬발랄 원작 ; 주상일 글 ; 라임 스튜디오 그림,겜툰,J 813.8-밍15ㅁ-6,[두류]아동실,8
14,BJX000510276,"토깽이네 지구 구출 대작전. 1, 사라져 가는 숲을 구하라",잼스토리 글 ; 양선모 그림 ; 토깽이네 원작,위즈덤하우스,J 539.98-잼58ㅌ-1,[두류]아동실,8
15,BJX000510265,"(백종원의) 도전 요리왕 : 음식으로 맛보는 세계 역사 문화 체험. 7, 대한민국 2","글: 백종원,남지은 ; 이정태 그림",위즈덤하우스,J 594-백75ㄷ-7,[두류]아동실,8
16,BJX000507995,밍꼬발랄 공소시효. 4,밍꼬발랄 원작 ; 주상일 글 ; 라임스튜디오 그림,겜툰,J 813.8-밍15ㅁ-4,[두류]아동실,8
17,BJX000510254,"(흔한남매) 과학 탐험대. 1, 우주","흔한남매 원작 ; 이재국,이현진 [공]지음 ; 김덕영 그림",주니어김영사,J 404-흔91ㅎ-1,[두류]아동실,8
18,BJX000516597,"(흔한남매) 과학 탐험대. 2, 지구와 달","흔한남매 원작 ; 이재국,이현진 [공] 글 ; 김덕영 그림",주니어김영사,J 404-흔91ㄱ-2,[두류]아동실,8
19,BJX000516537,(흔한남매) 별난 방탈출 : 탈출 미션 스토리북. 2,흔한남매 원작 ; 김언정 글 ; 차차 그림,Mirae N 아이세움,J 813.8-흔91ㅂ-2,[두류]아동실,8
20,BJX000515036,"쿠키런 킹덤. 2, 용의 언덕-상편",김강현 글 ; 김기수 그림,서울문화사,J 813.8-김11ㅋ-2,[두류]아동실,8
21,BJX000513243,에그박사. 4,에그박사 원작 ; 박송이 글 ; 홍종현 그림,Mirae N 아이세움,J 472-에18ㅇ-4,[두류]아동실,8
22,BJX000516235,"(흔한남매) 과학 탐험대. 2, 지구와 달","흔한남매 원작 ; 이재국,이현진 [공] 글 ; 김덕영 그림",주니어김영사,J 404-흔91ㄱ-2=2,[두류]아동실,8
