순위,등록번호,서명,저자,발행자,청구기호,자료실,대출횟수
1,BMK000414707,살아 있는 3D 공룡 탐험,글: 홍우식 ; 3D 입체제작: 월드잇,계림북스,MC 457.279-홍67ㅅ,[남부]어린이열람실,13
2,BMK000415037,흔한남매. 7,원작: 흔한남매 ; 글: 백난도 ; 그림: 유난희,미래엔(아이세움),J 813.7-흔91ㅎ-7=2,[남부]어린이열람실,9
3,BMK000402294,공룡이 나타났다! : 공룡의 실제 크기가 궁금한가요?,소피 헨 지음 ; 김영선 옮김,보림(보림출판사),MC 457-헨55ㄱ,[남부]어린이열람실,9
4,BMK000427095,(뽀로로) 나도 병원에 갈 수 있어! : 뽀로로 병원놀이,키즈아이콘 편집부 편,키즈아이콘,MC 375.1-키78ㄴ,[남부]어린이열람실,9
5,BMK000425304,밍꼬발랄 공소시효. 6,밍꼬발랄 원작 ; 주상일 글 ; 라임 스튜디오 그림,겜툰,J 813.7-밍15ㅁ-6,[남부]어린이열람실,9
6,BMK000430628,흔한남매. 9,흔한남매 원작 ; 백난도 글 ; 유난희 그림,아이세움,J 813.7-흔91ㅎ-9,[남부]어린이열람실,9
7,BMK000432622,(흔한남매) 별난 방탈출. 3,흔한남매 원작 ; 김언정 글 ; 차차 그림,미래엔,J 813.7-흔91ㅂ-3=2,[남부]어린이열람실,8
8,BMK000433464,"기괴한 레스토랑 : 김민정 장편소설. 1, 정원사의 선물",지은이: 김민정,팩토리나인,813.7-김39ㄱ-1,[남부]종합자료실,8
9,BMK000434046,밍꼬발랄 코믹스. 13,김혜련 글 ; 라임스튜디오 그림,겜툰,J 813.7-김94ㅁ-13,[남부]어린이열람실,8
10,BMK000430578,(이상한 과자가게) 전천당. 12,히로시마 레이코 글 ; 쟈쟈 그림 ; 김정화 옮김,길벗스쿨,J 833.6-히235ㅈ-12,[남부]어린이열람실,8
11,BMK000427831,달러구트 꿈 백화점 : 주문하신 꿈은 매진입니다 : 이미예 장편소설,지은이: 이미예,팩토리나인,813.7-이39ㄷ=4,[남부]종합자료실,8
12,BMK000427125,"(설민석의) 한국사 대모험. 18, 후삼국 편: 온달의 기묘한 시간 여행",설민석 ; 스토리박스 [공]지음 ; 정현희 그림,아이휴먼,J 911-설39ㅎ-18,[남부]어린이열람실,8
13,BMK000428738,밍꼬발랄 공소시효. 5,밍꼬발랄 원작 ; 백승하 글 ; 라임스튜디오 그림,겜툰,J 813.7-밍15ㅁ-5,[남부]어린이열람실,8
14,BMK000427478,(흔한 남매)안 흔한 일기. 2,흔한남매 원작 ; 강효미 글 ; 조병주 그림,아이세움,J 816.7-흔91ㅇ-2=3,[남부]어린이열람실,8
15,BMK000421113,"(전설의 모험왕) 엉덩이 댄디 the young. 1, 보물은 내게 맡겨라!",트롤 원작 ; 하루하라 로빈슨 글·구성 ; 기쿠치 아키히로 그림 ; 김정화 옮김,Mirae N 아이세움,J 833-트235ㅇ-1,[남부]어린이열람실,8
