순위,등록번호,서명,저자,발행자,청구기호,자료실,대출횟수
1,BMK000420895,케이크가 커졌어요!,구도 노리코 글·그림 ; 윤수정 옮김,책읽는곰,MC 833.8-구225ㅋ,[남부]어린이열람실,10
2,BMK000424892,"마인드스쿨. 4, 정리 정돈은 어려워!",기획: 천근아 ; 글: 남지은 ; 그림: 김인호,고릴라박스,J 190-마69-4=3,[남부]어린이열람실,10
3,BMK000422521,"내일은 발명왕 : 본격 대결 과학발명 만화. 5, 생각을 뒤집는 발상",곰돌이 co. 글 ; 홍종현 그림,아이세움,J 507.5-곰225ㄴ-5=2,[남부]어린이열람실,9
4,BMK000420622,"쿠키런 서바이벌 대작전. 37, 바꿀 수 없는 과거 편",김강현 글 ; 김기수 그림,서울문화사,J 372.42-김11ㅋ-37,[남부]어린이열람실,9
5,BMK000408942,흔한남매의 흔한 호기심 : 일상에서 만나는 과학 상식. 1,원작: 흔한남매 ; 글: 안치현 ; 그림: 유난희,Mirae N 아이세움,J 400-흔91ㅎ-1,[남부]어린이열람실,9
6,BMK000408721,"마인드 스쿨=mind school. 17, 욕 좀 하면 안 돼?",이혜림 글 ; 유연경 그림,고릴라박스,J 190-마69-17,[남부]어린이열람실,8
7,BMK000417675,흔한남매의 흔한 호기심 : 일상에서 만나는 과학 상식. 3,흔한남매 원작 ; 안치현 글 ; 유난희 그림,아이세움,J 400-흔91ㅎ-3,[남부]어린이열람실,8
8,BMK000408948,"내일은 발명왕 : 본격 대결 과학발명 만화. 31, 모기 퇴치 발명",글: 곰돌이 co ; 그림: 홍종현,미래엔,J 507.5-곰225ㄴ-31,[남부]어린이열람실,8
9,BMK000413586,"쿠키런 어드벤처 : 쿠키들의 신통방통 지리 여행. 42, 미지의 세계 동굴-사라진 페이",송도수 글 ; 서정은 그림,서울문화사,J 980-송225ㅋ-42,[남부]어린이열람실,8
10,BMK000414898,"브레드 이발소. 3, 베이커리타운의 악동들",몬스터 스튜디오 원작·그림,한솔수북,J 813.7-몬58ㅂ-3,[남부]어린이열람실,8
11,BMK000417577,"마인드 스쿨. 18, 진짜 내 꿈은 뭘까?","김정미 ,문인호 글·그림",고릴라박스,J 190-마69-18,[남부]어린이열람실,8
